Participant,source_file,pre_word_pause,num_syllables,part_of_speech,first_person,verb_tense,word_coherence,word_coherence_5,word_coherence_10,word_coherence_variability_2,word_coherence_variability_3,word_coherence_variability_4,word_coherence_variability_5,word_coherence_variability_6,word_coherence_variability_7,word_coherence_variability_8,word_coherence_variability_9,word_coherence_variability_10
ex004,ex004.json,,1,,,,,,,,,,,,,,,
ex004,ex004.json,0.0,2,,,,,,,,,,,,,,,
ex004,ex004.json,0.0,2,,,,,,,,,,,,,,,
ex004,ex004.json,0.0,1,,,,,,,,,,,,,,,
ex004,ex004.json,0.0,1,,,,,,,,,,,,,,,
ex004,ex004.json,0.7999999999999998,1,,,,,,,,,,,,,,,
ex004,ex004.json,0.0,1,,,,,,,,,,,,,,,
ex004,ex004.json,0.0,2,,,,,,,,,,,,,,,
ex004,ex004.json,0.0,1,,,,,,,,,,,,,,,
ex004,ex004.json,0.0,1,,,,,,,,,,,,,,,
ex004,ex004.json,0.0,1,,,,,,,,,,,,,,,
ex004,ex004.json,0.0,3,,,,,,,,,,,,,,,
ex004,ex004.json,0.0,1,,,,,,,,,,,,,,,
